Ranking|DataSet|Max_Sim
0|zarq_00013_repetition_1|0.9331824471111793
1|zarq_00016_repetition_1|0.9331824471111793
2|zarq_00003_repetition_1|0.9329364189973304
3|zarq_00009_repetition_1|0.93132748429398
4|zarq_00010_repetition_1|0.9236064138985973
5|zarq_00017_repetition_1|0.9236064138985973
6|zarq_00004_repetition_1|0.9174317309097633
7|zarq_00014_repetition_1|0.9141173085120374
8|zarq_00000_repetition_1|0.9125538625518599
9|zarq_00005_repetition_1|0.9125538625518599
10|zarq_00001_repetition_1|0.9125538625518598
11|zarq_00015_repetition_1|0.9095571011969144
12|zarq_00006_repetition_1|0.908927096237187
13|zarq_00011_repetition_1|0.908927096237187
14|zarq_00008_repetition_1|0.9041870768139032
15|zarq_00012_repetition_1|0.9026944456734508
16|zarq_00019_repetition_1|0.9026944456734508
17|zarq_00002_repetition_1|0.8754015991041273
18|zarq_00007_repetition_1|0.8676728212200973
19|zarq_00018_repetition_1|0.8606071194175731
